"Qty","Value","Device","Package","Parts","Description","DIST","DPN","MF","MFG","MFG-PN","MPN","OC_FARNELL","OC_NEWARK","PROD_ID","VALUE",
"1","","CONNECTION-0.4","CONNECTION-BUTT-0.4","W1","Connection","","","","","","","","","","",
"3","","PINHD-1X2","1X02","JP8, JP10, JP11","PIN HEADER","","","","","","","","","","",
"1","","PINHD-2X10","2X10","JP5","PIN HEADER","","","","","","","","","","",
"1","","PINHD-2X11","2X11","JP2","PIN HEADER","","","","","","","","","","",
"1","","PINHD-2X3","2X03","JP9","PIN HEADER","","","","","","","","","","",
"1","","PINHD-2X4","2X04","JP7","PIN HEADER","","","","","","","","","","",
"1","","PINHD-2X6","2X06","JP6","PIN HEADER","","","","","","","","","","",
"2","","PINHD-2X7","2X07","JP3, JP4","PIN HEADER","","","","","","","","","","",
"18","","TESTPOINTROUND0.5MM","TESTPOINT_ROUND_0.5MM","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18","Test Point","","","","","","","","","","",
"1","0","R-US_0603-B-NOSILK",".0603-B-NOSILK","R6","RESISTOR, American symbol","","","","","","","","","","",
"1","1.27MM_HDR_2X12X1","1.27MM_HDR_2X12X1","1.27MM_2X1","J2","","","","","","","","","","","",
"1","100k","R-US_0603-B-NOSILK",".0603-B-NOSILK","RP3","RESISTOR, American symbol","Digi-Key","311-100KHRCT-ND","","Yageo","RC0603FR-07100KL","","","","","",
"1","100nF","C-EU0603-B-NOSILK",".0603-B-NOSILK","C15","CAPACITOR, European symbol","Digi-Key","478-5778-1-ND","","AVX","06035C104JAT2A","","","","","",
"8","100nF","C-EU0603-B-NOSILK",".0603-B-NOSILK","C8, C9, C18, C23, C25, C27, C28, C29","CAPACITOR, European symbol","Digi-Key","490-1532-1-ND","","Murata Electronics North America","","GRM188R71C104KA01D","","","","",
"6","100nF","C-EU0603-B-NOSILK",".0603-B-NOSILK","C2, C5, C7, C17, C19, C20","CAPACITOR, European symbol","Digi-Key","490-1532-1-ND","","Murata Electronics North America","GRM188R71C104KA01D","","","","","",
"1","10K (NTC)","THERMISTOR-_1206","R1206","RT1","Thermistor","Digi-Key","480-3153-1-ND","","Honeywell Sensing and Control","175-103LAE-301","","","","","",
"1","10k","R-US_0603-B-NOSILK",".0603-B-NOSILK","R1","RESISTOR, American symbol","Digi-Key","311-10.0KHRCT-ND","","Yageo","RC0603FR-0710KL","","","","","",
"1","10nF","C-EU0603-B-NOSILK",".0603-B-NOSILK","C16","CAPACITOR, European symbol","Digi-Key","478-6208-1-ND","","AVX","0603YC103JAT2A","","","","","",
"1","12p","C-EU0603-B-NOSILK",".0603-B-NOSILK","C11","CAPACITOR, European symbol","Mouser","581-06035A120FAT2A","","AVX","06035A120FAT2A","","","","","",
"2","15n","L-US0603-B-NOSILK",".0603-B-NOSILK","L2, L3","INDUCTOR, American symbol","Digi-Key","490-6866-1-ND","","Murata","LQW18AN15NG00D","","","","","",
"2","15p","C-EU0603-B-NOSILK",".0603-B-NOSILK","C10, C13","CAPACITOR, European symbol","Digi-Key","478-6024-1-ND","","AVX","06031A150FAT2A","","","","","",
"1","1M","R-US_0603-B-NOSILK",".0603-B-NOSILK","R14","RESISTOR, American symbol","Digi-Key","311-1.00MHRCT-ND","","Yageo","RC0603FR-071ML","","","","","",
"7","1k","R-US_0603-B-NOSILK",".0603-B-NOSILK","R2, R3, R4, R5, R7, R8, R9","RESISTOR, American symbol","Digi-Key","311-1.00KHRCT-ND","","Yageo","RC0603FR-071KL","","","","","",
"1","1nF","C-EU0603-B-NOSILK",".0603-B-NOSILK","C21","CAPACITOR, European symbol","Digi-Key","399-8984-1-ND","","Kemet","C0603C102K8RACTU","","","","","",
"1","2.2p","C-EU0603-B-NOSILK",".0603-B-NOSILK","C12","CAPACITOR, European symbol","Mouser","77-VJ0603A2R2BXJPBC","","Vishay / Vitramon","VJ0603A2R2BXJPW1BC","","","","","",
"1","2.2uF","C-EU0805-B-NOSILK",".0805-B-NOSILK","C6","CAPACITOR, European symbol","Digi-Key","490-3906-1-ND","","Murata Electronics North America","GRM21BR71C225KA12L","","","","","",
"1","22n","L-US0603-B-NOSILK",".0603-B-NOSILK","L1","INDUCTOR, American symbol","Digi-Key","490-6874-1-ND","","Murata","LQW18AN22NG00D","","","","","",
"1","32 MHz","FC-12M","FC-12M","X1","kHz RANGE CRYSTAL UNIT","Digi-Key","1253-1161-1-ND","","AVX Corp/Kyocera Corp","CX3225GA32000D0PTVCC","","","","","",
